,settlement_period,price,charge_MW,discharge_MW,soe_MWh,revenue,cycle,mwh_capacity
0,1,76.48193171996765,-0.0,0.0,0.0,0.0,1,0.5
1,2,77.36440568923669,0.0,0.0,0.0,0.0,1,0.5
2,3,75.60947094779715,0.0,0.0,0.0,0.0,1,0.5
3,4,73.71148673248487,0.0,0.0,0.0,0.0,1,0.5
4,5,71.61622523961535,0.0,0.0,0.0,0.0,1,0.5
5,6,71.61622523961535,0.0,0.0,0.0,0.0,1,0.5
6,7,68.62499546446934,0.0,0.0,0.0,0.0,1,0.5
7,8,67.27911179777008,0.0,0.0,0.0,0.0,1,0.5
8,9,65.29754754157437,0.0,0.0,0.0,0.0,1,0.5
9,10,65.72769816981105,0.0,0.0,0.0,0.0,1,0.5
10,11,65.58761318763906,0.0,0.0,0.0,0.0,1,0.5
11,12,67.38360292409112,0.0,0.0,0.0,0.0,1,0.5
12,13,72.08157948395775,0.0,0.0,0.0,0.0,1,0.5
13,14,76.36091305352869,0.0,0.0,0.0,0.0,1,0.5
14,15,79.29366895048989,0.0,0.0,0.0,0.0,1,0.5
15,16,78.97659915751132,0.0,0.0,0.0,0.0,1,0.5
16,17,77.34719966410722,0.0,0.0,0.0,0.0,1,0.5
17,18,73.87717011157949,0.0,0.0,0.0,0.0,1,0.5
18,19,71.68583647143747,0.0,0.0,0.0,0.0,1,0.5
19,20,68.63930573330768,0.0,0.0,0.0,0.0,1,0.5
20,21,64.54324293862092,0.0,0.0,0.0,0.0,1,0.5
21,22,62.18628356843754,0.0,0.0,0.0,0.0,1,0.5
22,23,58.97797628320774,0.0,0.0,0.0,0.0,1,0.5
23,24,57.54340176532567,0.0,0.0,0.0,0.0,1,0.5
24,25,56.300885068408704,0.0,0.0,0.0,0.0,1,0.5
25,26,56.30310233968827,0.0,0.0,0.0,0.0,1,0.5
26,27,54.8174640642377,1.0,0.0,0.5,-27.40873203211885,1,0.5
27,28,55.591291740807776,0.0,0.0,0.5,0.0,1,0.5
28,29,55.41507854040647,0.0,0.0,0.5,0.0,1,0.5
29,30,58.213274895224366,0.0,0.0,0.5,0.0,1,0.5
30,31,58.43239007761407,0.0,0.0,0.5,0.0,1,0.5
31,32,63.203957871249656,0.0,0.0,0.5,0.0,1,0.5
32,33,65.23627546703472,0.0,0.0,0.5,0.0,1,0.5
33,34,70.22291857478864,0.0,0.0,0.5,0.0,1,0.5
34,35,70.84041310525005,0.0,0.0,0.5,0.0,1,0.5
35,36,73.98893832224007,0.0,1.0,0.0,36.99446916112004,1,0.5
36,37,73.15129536097268,0.0,0.0,0.0,0.0,1,0.5
37,38,72.17791326924126,0.0,0.0,0.0,0.0,1,0.5
38,39,68.93066183125707,0.0,0.0,0.0,0.0,1,0.5
39,40,66.11694457748219,0.0,0.0,0.0,0.0,1,0.5
40,41,60.748418619976576,0.0,0.0,0.0,0.0,1,0.5
41,42,57.03670649797567,0.0,0.0,0.0,0.0,1,0.5
42,43,52.45951135652108,0.0,0.0,0.0,0.0,1,0.5
43,44,47.896367063165115,0.0,0.0,0.0,0.0,1,0.5
44,45,42.84136548186204,0.0,0.0,0.0,0.0,1,0.5
45,46,39.26490690791493,0.0,0.0,0.0,0.0,1,0.5
46,47,35.586438334208616,0.0,0.0,0.0,0.0,1,0.5
47,48,33.3381252567242,0.0,0.0,0.0,0.0,1,0.5
48,1,76.48193171996765,0.0,0.0,0.0,0.0,1,1.0
49,2,77.36440568923669,0.0,0.0,0.0,0.0,1,1.0
50,3,75.60947094779715,0.0,0.0,0.0,0.0,1,1.0
51,4,73.71148673248487,0.0,0.0,0.0,0.0,1,1.0
52,5,71.61622523961535,0.0,0.0,0.0,0.0,1,1.0
53,6,71.61622523961535,0.0,0.0,0.0,0.0,1,1.0
