,settlement_date,settlement_period,start_time,demand_MW,wind_MW,solar_MW,market_index_price,market_index_volume,residual_load_MW
0,2026-02-07,1,2026-02-07T00:00:00Z,27313,26318.683,0.0,76.5,1276.05,994.3169999999991
1,2026-02-07,2,2026-02-07T00:30:00Z,27839,12389.111,0.0,90.55,1696.45,15449.889
2,2026-02-07,3,2026-02-07T01:00:00Z,27186,12074.403999999999,0.0,86.9,1656.1,15111.596000000001
3,2026-02-07,4,2026-02-07T01:30:00Z,26586,11875.260999999999,0.0,84.37,1519.75,14710.739000000001
4,2026-02-07,5,2026-02-07T02:00:00Z,25582,11611.379,0.0,85.85,1511.2,13970.621
5,2026-02-07,6,2026-02-07T02:30:00Z,25144,11275.261999999999,0.0,87.04,1682.85,13868.738000000001
6,2026-02-07,7,2026-02-07T03:00:00Z,24708,11550.682,0.0,86.36,1455.95,13157.318
7,2026-02-07,8,2026-02-07T03:30:00Z,24272,11786.329,0.0,85.88,1636.55,12485.671
8,2026-02-07,9,2026-02-07T04:00:00Z,24012,12059.014,0.0,85.31,1474.65,11952.986
9,2026-02-07,10,2026-02-07T04:30:00Z,23735,12044.752,0.0,86.56,1463.5,11690.248
10,2026-02-07,11,2026-02-07T05:00:00Z,23509,11877.908,0.0,87.68,1422.0,11631.092
11,2026-02-07,12,2026-02-07T05:30:00Z,23543,11591.998,0.0,89.16,1541.3,11951.002
12,2026-02-07,13,2026-02-07T06:00:00Z,24356,11475.486,0.0,91.0,1781.6,12880.514
13,2026-02-07,14,2026-02-07T06:30:00Z,25389,11208.528999999999,0.0,92.27,2099.05,14180.471000000001
14,2026-02-07,15,2026-02-07T07:00:00Z,27034,11254.402999999998,0.0,93.82,1520.25,15779.597000000002
15,2026-02-07,16,2026-02-07T07:30:00Z,27691,11342.867,5.0,96.63,1356.05,16343.133
16,2026-02-07,17,2026-02-07T08:00:00Z,29435,11169.574,150.0,95.33,1484.4,18115.426
17,2026-02-07,18,2026-02-07T08:30:00Z,30731,11439.529,437.0,95.6,2028.85,18854.470999999998
18,2026-02-07,19,2026-02-07T09:00:00Z,32224,11654.923999999999,776.0,90.17,2310.5,19793.076
19,2026-02-07,20,2026-02-07T09:30:00Z,32671,11624.224,1029.0,86.52,1757.45,20017.775999999998
20,2026-02-07,21,2026-02-07T10:00:00Z,33169,11652.448,1361.0,83.41,1883.7,20155.552
21,2026-02-07,22,2026-02-07T10:30:00Z,33254,12182.407000000001,1597.0,86.04,2735.85,19474.593
22,2026-02-07,23,2026-02-07T11:00:00Z,33862,12452.232,1764.0,80.56,1906.45,19645.768
23,2026-02-07,24,2026-02-07T11:30:00Z,34036,12924.52,1924.0,81.24,2309.2,19187.48
24,2026-02-07,25,2026-02-07T12:00:00Z,34193,13495.969,1940.0,81.38,2149.75,18757.031000000003
25,2026-02-07,26,2026-02-07T12:30:00Z,34121,13554.759,1955.0,81.09,2607.45,18611.241
26,2026-02-07,27,2026-02-07T13:00:00Z,33844,13728.143,2005.0,82.77,2653.05,18110.857
27,2026-02-07,28,2026-02-07T13:30:00Z,33678,13907.488000000001,1783.0,83.34,2886.05,17987.512
28,2026-02-07,29,2026-02-07T14:00:00Z,33227,13940.331999999999,1658.0,81.66,3054.5,17628.668
29,2026-02-07,30,2026-02-07T14:30:00Z,33121,14015.874,1437.0,81.15,3040.05,17668.126
30,2026-02-07,31,2026-02-07T15:00:00Z,33139,13856.188,1022.0,93.03,2351.95,18260.811999999998
31,2026-02-07,32,2026-02-07T15:30:00Z,33295,13803.274,645.0,95.4,2322.6,18846.726000000002
32,2026-02-07,33,2026-02-07T16:00:00Z,33722,14003.846,312.0,99.11,2056.25,19406.154000000002
33,2026-02-07,34,2026-02-07T16:30:00Z,34885,14154.094,70.0,103.72,2344.3,20660.906000000003
34,2026-02-07,35,2026-02-07T17:00:00Z,36280,14235.271,0.0,106.13,2008.75,22044.729
35,2026-02-07,36,2026-02-07T17:30:00Z,36686,14205.934,0.0,106.72,2134.5,22480.066
36,2026-02-07,37,2026-02-07T18:00:00Z,36810,14145.190999999999,0.0,103.96,2437.6,22664.809
37,2026-02-07,38,2026-02-07T18:30:00Z,36438,14280.579,0.0,102.8,2188.75,22157.421000000002
38,2026-02-07,39,2026-02-07T19:00:00Z,35514,14388.091,0.0,98.3,1823.6,21125.909
39,2026-02-07,40,2026-02-07T19:30:00Z,34448,14273.349,0.0,93.69,1747.45,20174.650999999998
40,2026-02-07,41,2026-02-07T20:00:00Z,33454,14219.440999999999,0.0,93.25,2035.05,19234.559
41,2026-02-07,42,2026-02-07T20:30:00Z,32328,13914.189999999999,0.0,91.21,1994.45,18413.81
42,2026-02-07,43,2026-02-07T21:00:00Z,31188,13741.714,0.0,89.31,2084.8,17446.286
43,2026-02-07,44,2026-02-07T21:30:00Z,29933,13513.391,0.0,88.22,1703.15,16419.609
44,2026-02-07,45,2026-02-07T22:00:00Z,28279,13559.969000000001,0.0,89.73,1856.75,14719.030999999999
45,2026-02-07,46,2026-02-07T22:30:00Z,27170,13898.384,0.0,89.37,1731.4,13271.616
46,2026-02-07,47,2026-02-07T23:00:00Z,25923,13842.435,0.0,83.38,1112.65,12080.565
47,2026-02-07,48,2026-02-07T23:30:00Z,25558,13763.118999999999,0.0,81.61,1141.35,11794.881000000001
48,2026-02-08,1,2026-02-08T00:00:00Z,26215,23076.196,0.0,82.62,1216.55,3138.804
49,2026-02-08,2,2026-02-08T00:30:00Z,26637,13504.92,0.0,78.09,1108.65,13132.08
50,2026-02-08,3,2026-02-08T01:00:00Z,26258,13285.377,0.0,78.12,1691.05,12972.623
51,2026-02-08,4,2026-02-08T01:30:00Z,25256,12978.908,0.0,76.63,2011.55,12277.092
52,2026-02-08,5,2026-02-08T02:00:00Z,24663,12281.895,0.0,76.37,2103.25,12381.105
53,2026-02-08,6,2026-02-08T02:30:00Z,24103,11957.539,0.0,76.69,2096.95,12145.461
54,2026-02-08,7,2026-02-08T03:00:00Z,23109,11034.111,0.0,75.23,2299.15,12074.889
55,2026-02-08,8,2026-02-08T03:30:00Z,22735,10641.084,0.0,74.82,1981.0,12093.916
56,2026-02-08,9,2026-02-08T04:00:00Z,22318,10475.286,0.0,74.82,2115.2,11842.714
57,2026-02-08,10,2026-02-08T04:30:00Z,22118,10432.844000000001,0.0,75.03,1802.65,11685.155999999999
58,2026-02-08,11,2026-02-08T05:00:00Z,21951,10279.565,0.0,75.91,1931.2,11671.435
59,2026-02-08,12,2026-02-08T05:30:00Z,21794,10134.048999999999,0.0,75.73,1799.75,11659.951000000001
60,2026-02-08,13,2026-02-08T06:00:00Z,22387,9706.598,0.0,76.47,1841.2,12680.402
61,2026-02-08,14,2026-02-08T06:30:00Z,23275,9673.003,0.0,75.01,1702.55,13601.997
62,2026-02-08,15,2026-02-08T07:00:00Z,24245,9460.083,0.0,76.35,2077.5,14784.917
63,2026-02-08,16,2026-02-08T07:30:00Z,25061,9375.235,12.0,78.36,2012.25,15673.765
64,2026-02-08,17,2026-02-08T08:00:00Z,26407,8936.984,249.0,78.94,1987.75,17221.016
65,2026-02-08,18,2026-02-08T08:30:00Z,27347,8409.422999999999,625.0,82.26,1980.3,18312.577
66,2026-02-08,19,2026-02-08T09:00:00Z,28709,8205.172,1076.0,80.99,2193.1,19427.828
